Club,Email
TC LA CELLE SAINT CLOUD,tennisclubcsc@orange.fr
T.C. CHATEAUFORT,tcchateaufort@gmail.com
A.S. CERNAY LA VILLE,ascernay.tennis@gmail.com
C.T. CHAVENAY,tennis.chavenay@free.fr
T.C. CHATOU,contact@tennisclubchatou.com
U.S. POIGNY LA FORET,simonprovo@aol.com
C.A. MANTES LA VILLE,camvtennis@fft.fr
A.S.L. HARGEVILLE,slh78790@gmail.com
T.C.M. FLINS,tcmflins@gmail.com
T.C. TOURNEROUE,mfbchr78@gmail.com
C.O. GARGENVILLE,38780064@fft.fr
T.C. EPONE MEZIERES,tceponemezieres@wanadoo.fr
T.C. COIGNIERES,tc.coignieres@fft.fr
T.C. MARCQ,tennisclubdemarcq78@outlook.fr
T.C. MAREIL SUR MAULDRE,tcmareil@orange.fr
TENNIS CLUB DE MAURECOURT,tcmaurecourt@free.fr
T.C. MAREIL MARLY,tcmm.secretariat@gmail.com
T.C. FEUCHEROLLES,tc.feuch@gmail.com
T.C. CHANTELOUP LES VIGNES,tc.chanteloup78@gmail.com
T.C. MONTFORT L’AMAURY,tennismontfort@gmail.com
ARTS &amp; SPORTS NEXTER,p.moise@nexter-group.fr
U.S.Y LA QUEUE LEZ YVELINES,sarderius@gmail.com
LES MUREAUX VAL DE SEINE TENNIS,lmvst@neuf.fr
T.C. JOUARS PONTCHARTRAIN,tennisclubjpontchartrain@gmail.com
T.C. BEYNES,t.c.beynes@orange.fr
T.C. VELIZY VILLACOUBLAY,tcvv78@tennis-club-velizy.com
T.C. MAGNY LES HAMEAUX,gilles.zielinski@gmail.com
A.T.C. VAUX SUR SEINE,atcv78740@orange.fr
T.C. ORGERUS,t.c.o@orange.fr
ST CYR TC,sctc.tennis-2@orange.fr
T.C. CRESPIERES,tennis.crespieres@gmail.com
TENNIS AUBERGENVILLE CLUB,tennis.aubergenville.club@gmail.com
T.C. MONTESSON,tc.montesson@fft.fr
T.C. CHEVREUSE,tcchevreuse@sfr.fr
T.C. ABLIS,tennisclub.ablis@free.fr
T.C. MAGNANVILLE,tc.magnanville@free.fr
T.C. DES CLAYES,tcdesclayes@gmail.com
C.L.O.C. ACHERES,clocatennis@bbox.fr
AMICALE CIRCUIT BRIARD,
ST MARD TENNIS,s.m.t@fft.fr
PAYS DE L’OURCQ UNION SPORTIVE,
CIRCUIT SEINE ET LOING,
T.C. HOUDAN,tennisclubhoudan@gmail.com
TOURNAN EN BRIE TC,tc.tournan@fft.fr
C.T. DAMPIERRE,tennisclubdampierre@gmail.com
CHAMPS SUR MARNE TC,tennisclubchamps@free.fr
T.C. GUYANCOURT,tcguyancourt@gmail.com
COURPALAY TENNIS CLUB,tc.courpalay@fft.fr
E.S.A.M. LES MUREAUX,maximilien.ancel@ariane.group
THORIGNY AJ,Thorigny.ajttennis@gmail.com
E.S. LE PERRAY EN YVELINES,esptennis.guerin@neuf.fr
ST THIBAULT DES VIGNES TC THEOBALDIEN,tennis.aost@saintthibaultdesvignes.info
SENART NANDY TCSN,tc.senartnandy@fft.fr
EMERAINVILLE MALNOUE TC,tc.emerainville@fft.fr
DONNEMARIE FR TC INTERCOMMUNAL DU MONTOIS,foyerrural77520@free.fr
VERNEUIL L ETANG La Raquette Verneuillaise,laraquetteverneuillaise@gmail.com
COMPANS TC,tc.compans@fft.fr
ZI CROISSY,
LA ROCHETTE AS,tc.larochette@fft.fr
VAIRES US,usvaires@fft.fr
MORET SEPA,tc.moret@gmail.com
VILLEPARISIS USM,tc.villeparisis@fft.fr
MONTRY US,usmontry@fft.fr
ST FARGEAU VILLERS AS,contact@assfv.com
CHEVRY COSSIGNY TC,chevrycossignytennisclub@gmail.com
FONTENAY TRESIGNY ASFT,asfttennis@fft.fr
CESSON AT VERT ST DENIS,tc.cesson@fft.fr
SOUPPES AMITIE LOISIRS ET CULTURE Section Tennis,souppesalctennis@gmail.com
LESIGNY USC,tc.lesigny@fft.fr
LE MEE SUR SEINE ST,tc.lemee@fft.fr
BOIS LE ROI USB TENNIS,37770362@fft.fr
ROISSY EN BRIE AST,tc.roissy@fft.fr
LA FERTE SOUS JOUARRE ASM,tc.fertesousjouarre@fft.fr
FONTAINEBLEAU TCF,tc.fontainebleau@fft.fr
LA FERTE GAUCHER JS,tcjsfertegaucher@fft.fr
VAUX LE PENIL US,usv.tennis@fft.fr
TORCY TC,tennisclubdetorcy@wanadoo.fr
LIZY SUR OURCQ CA,tenniscalizy@gmail.com
GOUVERNES TCM,tcm.gouvernes@free.fr
MOUSSY LE NEUF ESPOIR SPORTIF,tc.moussyleneuf@fft.fr
ST MARTIN EN BIERE TSM,
PRESLES EN BRIE TC,tc.preslesenbrie@fft.fr
LE PIN TC,
LA HOUSSAYE TC,tclahoussaye77@fft.fr
BAILLY – ASRVE,secretariat@asrve.fr
JUILLY LTJ,
CANNES ECLUSE TC,tcs.cannes-ecluse@fft.fr
VAIRES OPEN SET,mgadave@vaires-torcy.iledeloisirs.fr
ECUELLES A D S C E TENNIS,tc.ecuelles@fft.fr
SOURDUN TC,
MAROLLES A.S. Section Tennis,tennis.marolles@gmail.com
ARMAINVILLIERS TC,tc.armainvilliers@fft.fr
EVRY GREGY TC,tcevrygregy@fft.fr
COUPVRAY VAL D’EUROPE TENNIS CLUB,tc.coupvray@fft.fr
MAUREGARD OMSL,
OISSERY TC.,
GUERARD TC,tcguerard@fft.fr
BAZOCHES TC,tc.bazoches@fft.fr
SAVIGNY LE TEMPLE ASPS TENNIS,
VILLENOY VTC,vtennisclub@orange.fr
OZOIR LA FERRIERE TC,tco@fft.fr
COULOMBS CT,club.tennis.coulombs@gmail.com
MOUSSY LE VIEUX TC,tcmv.77230@gmail.com
MONTGE TC,
CRECY TPB Pays Crécois,
ST CYR SUR MORIN TC,
MONTCOURT FROMONVILLE US,tc.montcourt@fft.fr
PROVINS TC,tc.provins@gmail.com
VOINSLES COVY,covy@fft.fr
GRISY-SUISNES TC,tennisgrisy.gilles@orange.fr
VILLEMER CSLV,
CHOISY EN BRIE TC,asmadja@orange.fr
NANGIS TC,tc.nangis@fft.fr
GUERMANTES TC,tcguermantes@free.fr
NEMOURS ST PIERRE US,usnsp.tennis@free.fr
MACHAULT OMS,werdier.yvonne@orange.fr
BROU SUR CHANTEREINE ATB,manuvidal@wanadoo.fr
ST GERMAIN TPB VAL D’EUROPE PAYS CRECOIS,tpb@fft.fr
REBAIS CRFL,rebaistennis@k-net.fr
MOUROUX TC,tcmouroux@yahoo.fr
MEAUX CS,csmeaux.tennis@orange.fr
MEAUX SC OEILLET,cyr.jeannin@gmail.com
MELUN TC VAL DE SEINE,tcmelun@bbox.fr
LIEUSAINT TC,tc.lieusaint@fft.fr
EGREVILLE TC,
BOIS LE ROI UCPA,lpages@bois-le-roi.iledeloisirs.fr
BUSSY TC VAL DE BUSSY,tcvb2@wanadoo.fr
COMBS LA VILLE TC,tccombsbureau@gmail.com
MONTHYON TC,
LAGNY POMPONNE TC,president@tclp-lagny.net
MONTEREAU CS,37770163@fft.fr
LUMIGNY NESLES ORMEAUX TC,tc.lumigny@fft.fr
MORTCERF ASSOCIATION COMMUNALE DU TENNIS,
POMMEUSE ACTP,tc.pommeuse@gmail.com
CHELLES LE C O C E P,chellescocep@fft.fr
CONDE STE LIBIAIRE TCC,
VULAINES ASSOCIATION DES BORDS DE SEINE,tc.vulaines@fft.fr
SOIGNOLLES AT,37770119@fft.fr
QUINCY VOISINS TC,tcqv@outlook.fr
VILLEVAUDE TC,tcvillevaude@gmail.com
ST PATHUS TC,tcstpathus@free.fr
CHALIFERT TC,
BOISSY LE CHATEL AS BUCEENNE,asbtennis@live.fr
MONTEVRAIN AST,astmontevrain@yahoo.fr
ISLES LES MELDEUSES TCM,
LA CHAPELLE LA REINE ESF,esftennis77@laposte.net
MORMANT TCM,tcm.mormant@gmail.com
SAFRAN SPORTS VILLAROCHE,
VILLENEUVE SUR BELLOT TC,tc.villeneuve-bellot@fft.fr
MAINCY AT,tc.maincy@fft.fr
VILLIERS SOUS GREZ TC,tc.villierssousgrez@fft.fr
GUIGNES TC,haidantjc@orange.fr
MAREUIL LES MEAUX TC,tc.mareuil-77@fft.fr
CHAUCONIN-NEUFMONTIERS TC,
GERMIGNY A G T,
DAMMARTIN EN GOELE TC LA GOELE,tennis.dammartin@fft.fr
LONGUEVILLE TC LONGUEVILLOIS,tennis_longueville@hotmail.fr
CHATEAU LANDON ES,christophegibault@yahoo.fr
MITRY MORY TC2M,tc.mitrymory@fft.fr
SERVON TC,tc.servon@wanadoo.fr
BAGNEAUX SUR LOING AS BALNEOL,laurent-hourman@wanadoo.fr
CHELLES TENNIS AS,aschellestennis@wanadoo.fr
ST JEAN CHANGIS PAYS FERTOIS TC,saintjeantc@fft.fr
MONTIGNY SUR LOING CTM,
NOISIEL TC,tennis.club.noisiel@orange.fr
BELLOT TC,tc.bellot@fft.fr
COULOMMIERS TC,tc.coulommiers@fft.fr
PONTAULT COMBAULT UMS,umspctennis@fft.fr
CHARNY TCM,
FAREMOUTIERS ASL,37770075@fft.fr
FERRIERES EN BRIE TC,tc.ferrieres@fft.fr
ST SOUPPLETS TC,tc.stsoupplets@fft.fr
DAMMARIE LES LYS ES,esdtennis.dammarie@outlook.fr
CHAMPAGNE SUR SEINE TENNIS CLUB,tc.champagne@fft.fr
PRINGY TC,tennis.club.pringy@fft.fr
VENEUX LES SABLONS USM,
CHARTRETTES TC,
CROISSY BEAUBOURG AT,tc.croissybeaubourg@fft.fr
ST SAUVEUR SUR ECOLE TENNIS CLUB,
LOGNES TC,tennisclub-lognes@orange.fr
BOISSISE LE ROI TCB,tennisboissiseleroi@gmail.com
NANTEUIL LES MEAUX TC,tc.nanteuil@fft.fr
CONCHES LAGNY TC,
COURTRY TC,courtrytc@fft.fr
ANNET SUR MARNE TCM,tcmannet@orange.fr
BOURRON MARLOTTE TC,tc.bourronmarlotte@fft.fr
ROZAY TC,tc.rozay@fft.fr
VILLENEUVE LE COMTE TC,stef77174@free.fr
MOISSY CRAMAYEL TCMC,tc.moissycramayel@fft.fr
PONTCARRE TC,
BRAY CS,bureau.tennis.bray@gmail.com
GRETZ TOURNAN SPORTING CLUB,scgt.tennis.gretz@fft.fr
BRIE COMTE ROBERT SC BRIARD,tscbrie@gmail.com
ST FARGEAU PONTHIERRY TCF,tcfereopontain@free.fr
CHAUMES EN BRIE TC CALMETIEN,
DAMPMART TC,
OTHIS CO,tennisclubothis@gmail.com
LASA SPORT ORGANISATION,lasasportorganisation@gmail.com
PASSING SHOT,
TENNIS TOP CHEFS,tennistopchefs@yahoo.fr
TENNIS PARIS 19éme,
EVOLUTION TENNIS CLUB,christopher.court@joueautennis.com
VERNOU LA CELLE SUR SEINE TC,37770001@fft.fr
Amicale des Etangs,
THOMERY ASM AT,
Cercle Amical et Sportif du Luxembourg,
GRESSY EN FRANCE CMT,asso.cmt.gressy@gmail.com
Ass sportive de la Cie du Jeu de Paume,
LE CHATELET TCSM,
PADEL PARIS 15,
CLAYE SOUILLY TC,tc.claye@free.fr
DEFISPORT PARIS,nicolasbrion.defisportparis@gmail.com
Ass Tennis Riverains du 14ème,
5ème SET,
Retour Gagnant,
ASSOCIATION DES SPORTS AU BARREAU – PARIS,
Asso. des Parents et des Amis de Montessori’s Cool,
Tennis Club du Jardin du Luxembourg,lucopro@gmail.com
Ass Groupe Sportif Parents Elèves Lycée Montaigne,gspelyceemontaigne@hotmail.fr
INFOGEST-ESC XV,
Association Générale des Familles du 6ème,agf6paris@hotmail.com
PARNASSIUM TENNIS CLUB du 15ème,
Amicale Tennis Paris,amicaletennisparis@gmail.com
ACTISCE CENTRE ANIMATION POINT DU JOUR,
Association Sport et Loisirs du 6ème arrond.,info@sportetloisirs6.fr
TENNISPORT,tennisport@orange.fr
Cercle Amical des Tennismen du Luxembourg,
SPORT OPTION TENNIS,cluboptiontennis@hotmail.com
MATCH POINT,matchpoint75@gmail.com
ASSOCIATION TENNIS SUFFREN,contact@tennis-suffren.fr
Association Tennis Pour Tous,
FETE LE MUR,
International Tennis Club de France,
Association Sportive de Poste Immo,
TENNIS OPEN PARIS,presidence.top@fft.fr
TENNIS CLUB AMIOT,admin@tc-amiot.fr
Sport et Culture à l’Ecole,
ASSO. SPORTIVE ET ARTISTIQUE DES SAPEURS POMPIERS,
ASS. SPORTIVE ET CULTURELLE DU PERSONNEL DU SENAT,
ASSOCIATION SPORTIVE DES ARENES,
A.S. du CREDIT du NORD,
CLUB MESSIDOR,club.messidor@yahoo.fr
TENNIS BADMINTON CLUB BIEVRE XIII,
A.S. LE PETIT SMASH,contact@lepetitsmash.com
Ligue de l’Enseignement,
DOUBLE JEU TENNIS PARIS,djtp75@yahoo.fr
LAGARDERE PARIS RACING,mhcharpentier@lagardere-paris-racing.fr
CLUB FUN TENNIS,rvmoulin92@icloud.com
T.C.E.,tce14@free.fr
ENSEIGNANTES DE PARIS,contact@enseignantes-tennis-paris.fr
ASSOCIATION SPORTIVE ET CULTURELLE DEXIA,
PRESSTALIS,c.panetta@orange.fr
CLUB TENNIS ENTREPRISE FFT,ctefft@test.fr
AVENIR TENNIS CLUB,christophe.rogervasselin1@orange.fr
CASL Cercle culturel et Athlétique St LEON,tennis@casl.fr
ASSOCIATION TENNIS PARIS 13EME,atennisparis13@gmail.com
LES FILETS DU 7ème,filetsdu7eme@hotmail.fr
SPORTING CHEMINOTS P.O./SCPO,scpotennis@orange.fr
PARIS JEAN BOUIN,omnisports@parisjeanbouin.fr
STADE FRANCAIS,
TENNIS CLUB DE PARIS,contact@tennisclubdeparis.fr
ASS FRANCAISE DE TENNIS SENIOR+,fil_net@hotmail.com
VINCENNES C.A.,direction@cavincennes.fr
MINISTERE DES FINANCES,jean.tichy@hotmail.fr
US. NATIXIS,alain.desens@natixis.com
TENNIS PARIS XV,tennisparis15@gmail.com
AXA SPORTS LOISIRS,christian.chambily@axa.fr
ASSOCIATION LEON SERPOLLET,
BAGNOLET/AS PORTE DE/,
ASSOCIATION SPORTIVE 116-117,
TENNIS CLUB DE VILLIERS,tcvilliers@hotmail.com
CS TERNES PARIS,tennis@omnisports17.fr
ASSO GENERALE DES FAMILLES DES 17 ET 18EME,tennis@agf17-18.fr
ASSOCIATION FAMILIALE CATHOLIQUE DU 17E,
TENNIS CLUB MONTSOURIS,tcmontsouris@sfr.fr
TENNIS CLUB DU 16EME,contact@tc16.fr
SOURDS DE PARIS T.C.,
A.P.S.A.P. V.P.,apsaptennis@gmail.com
TENNIS 15,tennis.15@orange.fr
I.B.M. FRANCE PARIS,
ASSOCIATION SPORTIVE MAINE MONTP,contact@asmm-asso.org
ECOLE DES SPORTS DU 16 EME,ES16@wanadoo.fr
ASSOCIATION PARIS SPORT,aps.tennis@wanadoo.fr
CLUB RECHERCHE ET LOISIRS 10EME,information-ej@asso-crl10.net
RACING TENNIS CLUB DE JOINVILLE,rtc.joinville@wanadoo.fr
COURCELLES (TENNIS CLUB),
BABEL 7,babel7paris@gmail.com
ECOLE DE TENNIS DU 12EME,
ASS. SPORTS LOISIRS EDUCATIFS 16,francineaslec@yahoo.fr
TENNIS CLUB 11e – ASSOCIATION SPORTIVE ST BERNARD,tc11-assb@fft.fr
T.C. DEMOURS,jeanpaul.griseti@gmail.com
CENTRE JEUNESSE PARIS 18 NORD,
PARIS UNIVERSITE CLUB,puctennis@puc.asso.fr
PARIS TENNIS CLUB,paristennisclub@hotmail.com
REUILLY-NATION SPORTS,rnstennisclub@gmail.com
POLO DE PARIS,tennis@polodeparis.com
ASPTT GRAND PARIS,tennis.asptt.fp@hotmail.fr
METRO TRANSPORTS/U.S.,daniel.montel@gadz.org
PASSING CLUB,passing-club.paris@fft.fr
NICOLAITE DE CHAILLOT,philippe_harrouin@hotmail.com
I.N.S.E.P.-A.C.S.E.S.,acses@insep.fr
ENTENTE SPORTIVE CULTURELLE XI,adnfrio@neuf.fr
CLUB SPORTIF ET ARTISTIQUE DU FORT DU KREMLIN BICE,tennis-csafkb@gmx.fr
TENNIS 17,c.tennis17@orange.fr
CHANTIER/UNION ATHLETIQUE DU/,courier@lechantier.asso.fr
NOTARIAT/CLUB SPORTIF,
AMICALE GLACIERE E.S.C.,jc-gressin@wanadoo.fr
JOINVILLE (T.C.P.),tcpj@orange.fr
CAISSE D’EPARGNE PARIS A.S.,
FRATERNEL T.C.DU 19EME,
ENFANTS DE PASSY,
TC BANQUE DE NEUFLIZE,
BRETONS DE PARIS U.S.,atlcharley@yahoo.fr
LUTECE (TENNIS CLUB),contact@tc-lutece.fr
H.E.C.(ASSOCIATION TENNIS),vitti@hec.fr
TENNIS CLUB DU XIIIème,tennisclub13eme@orange.fr
AQUABOULEVARD DE PARIS,
CHAMPIONNET SPORTS,tennis@championnet-sports.fr
SAINTE ANNE (ASSOC.SPORTIVE),
ACTUEL XV,actuelxv@orange.fr
FEMINA SPORT,feminasport@orange.fr
CHEMINOTS OUEST RIVE GAUCHE US,uscorg@club-internet.fr
CHEMINOTS ATHLETIC PARIS NORD,
CHEMINOTS DE L’EST A.S.,
CHEMINOT VAUGIRARD T.C,tennisclub.vaugirard@free.fr
LA CAMILLIENNE SPORTS 12EME,lacamillienne@wanadoo.fr
ASSOCIATION SPORTIVE RUSSE,as.russe.pres@bbox.fr
J.S.EUROPEENNE/CHAMPERRET,jse.champerret@free.fr
PARIS D’HIER A.S.,
AMICALE MANIN SPORT PARIS EST,contact@manin-sport-paris.com
A.S HSBC FRANCE,
SALESIENNE DE PARIS 17EME,
T.C. XII BERCY,tc12bercy@fft.fr
CLUB SPORTIF MULTISPORTS DU XXÈME,
ART ET CULTURE XV EME,branoush@yahoo.fr
ASOC BTP,
CLUB SPORTIF PARIS 19,afvinot@noos.fr
RACING CLUB DE FRANCE,tennis@rcf.asso.fr
T.C.PLAINE DE LA PLAINE MONCEAU ET BATIGNOLLES,tcpmb17@orange.fr
BANQUE DE FRANCE A.S.,contact@cslbf-bougival.com
A.S.C.BNP PARIBAS,asc.paris.tennis@gmail.com
TENNIS CLUB DU 10 EME,contact@tc10.fr
PARIS CENTRE (T.C.),tcpariscentre@gmail.com
INTERNATIONAL T.C.,contact@internationaltc.fr
BOIS DE BOULOGNE ASC,secretariat@letir.fr
OMNISPORTS XVI EME,
TENNIS SPORTING CLUB,info@tennis-sporting.fr
CS Cr. AGRICOLE Cr. LYONNAIS,ca.sports@credit-agricole-sa.fr
LIVRE (U.S.),
FEMININ PARIS/CERCLE,
BOURSE (A.S. DE LA),asbourse@ciebourse.com
ENTENTE SPORTIVE DU 18EME,
Oxygène PSA,
DUMAS VOLTAIRE (A.S.),
UNIVERSITAIRE DE FRANCE S.C..,tennis@scuf.org
UA SOCIETE GENERALE,linda.lebris@uasg.fr
ASSEMBLEE NATIONALE A.S.C.,pgirard@assemblee-nationale.fr
